Maze,Fish_ID,Trial_ID,Trajectory,D_Point,Total_time
BLANK,1,1,19.27431534,D2,900.00
BLANK,1,2,5.049736751,D1,900.00
BLANK,1,3,13.63446427,D3,900.00
BLANK,1,4,3.224867682,D1,900.00
BLANK,1,5,3.556546786,D2,900.00
BLANK,1,6,5.904274221,D2,900.00
BLANK,1,7,2.299064455,D2,900.00
BLANK,1,8,2.433971631,D2,900.00
BLANK,1,9,21.82086845,D2,900.00
BLANK,1,10,5.399431264,D2,900.00
BLANK,1,11,5.078522097,D2,900.00
BLANK,1,12,2.10843224,D2,900.00
BLANK,1,13,2.272881452,D1,900.00
BLANK,1,14,4.750489605,D3,900.00
BLANK,1,15,1.492874255,D0,900.00
BLANK,1,16,2.73250881,D1,900.00
BLANK,1,17,1.928741219,D1,62.00
BLANK,1,18,1.805657123,D0,900.00
BLANK,1,19,4.076246236,D0,900.00
BLANK,1,20,2.080117011,D1,900.00
BLANK,2,1,NA,D3,900.00
BLANK,2,2,29.5771329,D1,900.00
BLANK,2,3,52.5943517,D2,900.00
BLANK,2,4,29.4602513,D2,900.00
BLANK,2,5,13.9314567,D2,409.00
BLANK,2,6,27.5973595,D1,900.00
BLANK,2,7,38.7342952,D2,900.00
BLANK,2,8,29.9436511,D2,900.00
BLANK,2,9,20.4932249,D3,683.00
BLANK,2,10,30.2970442,D2,900.00
BLANK,2,11,33.5116489,D2,900.00
BLANK,2,12,26.4171038,D2,900.00
BLANK,2,13,27.4468257,D2,900.00
BLANK,2,14,22.1802157,D1,900.00
BLANK,2,15,19.9513865,D2,900.00
BLANK,2,16,5.00108199,D1,900.00
BLANK,2,17,14.3740194,D2,501.00
BLANK,2,18,13.1578177,D2,522.00
BLANK,2,19,31.9569362,D2,900.00
BLANK,2,20,25.7759185,D2,900.00
BLANK,3,1,31.18360583,D3,900.00
BLANK,3,2,29.77755196,D2,900.00
BLANK,3,3,27.3832993,D3,900.00
BLANK,3,4,24.69554932,D2,900.00
BLANK,3,5,35.31274953,D2,900.00
BLANK,3,6,33.47884207,D2,900.00
BLANK,3,7,31.55502639,D3,900.00
BLANK,3,8,33.45704538,D3,900.00
BLANK,3,9,29.28166076,D2,900.00
BLANK,3,10,23.78370191,D2,900.00
BLANK,3,11,25.37992147,D2,900.00
BLANK,3,12,25.90102537,D1,900.00
BLANK,3,13,26.76147069,D2,900.00
BLANK,3,14,24.12313387,D2,900.00
BLANK,3,15,26.07416282,D2,900.00
BLANK,3,16,23.91419764,D2,900.00
BLANK,3,17,27.03876922,D2,900.00
BLANK,3,18,22.83491102,D2,900.00
BLANK,3,19,24.27277126,D2,900.00
BLANK,3,20,18.50608064,D2,900.00
BLANK,4,1,11.41852093,D3,298.00
BLANK,4,2,34.98523927,D3,900.00
BLANK,4,3,35.54346564,D2,900.00
BLANK,4,4,11.43985136,D2,900.00
BLANK,4,5,33.51635676,D3,900.00
BLANK,4,6,34.61429198,D2,900.00
BLANK,4,7,25.95266936,D2,900.00
BLANK,4,8,25.50629645,D2,900.00
BLANK,4,9,29.13518878,D2,900.00
BLANK,4,10,36.84111547,D2,900.00
BLANK,4,11,39.31982173,D2,900.00
BLANK,4,12,34.30043672,D3,900.00
BLANK,4,13,20.36535046,D5,696.00
BLANK,4,14,6.67059828,D2,219.00
BLANK,4,15,34.54780056,D2,900.00
BLANK,4,16,17.99543547,D2,424.00
BLANK,4,17,9.822126168,D2,195.00
BLANK,4,18,4.153693449,D1,128.00
BLANK,4,19,33.62699654,D2,900.00
BLANK,4,20,25.57573759,D3,900.00
BLANK,5,1,33.8444114,D3,900.00
BLANK,5,2,26.52580665,D4,900.00
BLANK,5,3,24.47839814,D2,900.00
BLANK,5,4,27.40104488,D4,900.00
BLANK,5,5,25.89819537,D2,900.00
BLANK,5,6,28.78298192,D2,900.00
BLANK,5,7,16.93726486,D2,900.00
BLANK,5,8,16.4554809,D2,900.00
BLANK,5,9,21.39605373,D2,900.00
BLANK,5,10,26.93303234,D2,900.00
BLANK,5,11,20.49801647,D2,900.00
BLANK,5,12,NA,NA,900.00
BLANK,5,13,26.19949761,D2,900.00
BLANK,5,14,30.48550062,D2,900.00
BLANK,5,15,26.27401786,D2,900.00
BLANK,5,16,10.25327776,D2,900.00
BLANK,5,17,22.95149658,D1,900.00
BLANK,5,18,18.43129026,D2,900.00
BLANK,5,19,19.87343324,D2,900.00
BLANK,5,20,20.54215784,D3,900.00
BLANK,6,1,28.06430974,D2,900.00
BLANK,6,2,18.9077436,D2,900.00
BLANK,6,3,20.9413596,D3,900.00
BLANK,6,4,5.969861005,D5,560.00
BLANK,6,5,13.5492879,D2,900.00
BLANK,6,6,8.345654737,D2,900.00
BLANK,6,7,18.77471461,D3,900.00
BLANK,6,8,13.73474668,D3,900.00
BLANK,6,9,9.307962378,D2,900.00
BLANK,6,10,22.76335606,D2,900.00
BLANK,6,11,8.825363058,D4,900.00
BLANK,6,12,16.79129794,D2,900.00
BLANK,6,13,15.09651552,D2,900.00
BLANK,6,14,18.52026592,D2,61.00
BLANK,6,15,22.92007878,D4,900.00
BLANK,6,16,14.85836761,D3,900.00
BLANK,6,17,3.375705425,D2,304.00
BLANK,6,18,1.479447468,D1,900.00
BLANK,6,19,8.858355538,D2,900.00
BLANK,6,20,9.265312954,D3,900.00
BLANK,7,1,46.09199716,D3,900.00
BLANK,7,2,32.38725778,D3,900.00
BLANK,7,3,6.679996182,D2,175.00
BLANK,7,4,33.02151511,D3,900.00
BLANK,7,5,22.31823525,D2,900.00
BLANK,7,6,19.88157995,D2,660.00
BLANK,7,7,27.16330438,D2,900.00
BLANK,7,8,8.129707393,D1,289.00
BLANK,7,9,2.159443552,D2,88.00
BLANK,7,10,4.302927079,D2,135.00
BLANK,7,11,2.01341591,D2,111.00
BLANK,7,12,26.82633156,D2,900.00
BLANK,7,13,26.63640584,D3,900.00
BLANK,7,14,6.070913641,D2,209.00
BLANK,7,15,NA,NA,189.00
BLANK,7,16,2.898253988,D2,101.00
BLANK,7,17,30.28782787,D2,900.00
BLANK,7,18,15.30195797,D2,694.00
BLANK,7,19,18.22943327,D2,900.00
BLANK,7,20,16.41153245,D2,668.00
BLANK,8,1,13.1152692,D5,755.00
BLANK,8,2,32.17113458,D3,900.00
BLANK,8,3,26.00406776,D2,900.00
BLANK,8,4,25.2752326,D3,900.00
BLANK,8,5,19.0081725,D2,900.00
BLANK,8,6,15.34969147,D1,900.00
BLANK,8,7,18.29676132,D1,900.00
BLANK,8,8,22.42206857,D2,900.00
