"Fish_ID","Session","Start_temp","End_temp","Start_time","End_time","Latency","Total_time","Completed","Food_reward","Escaped","group"
"FISH 1",1,15,15.5,"01:15","16:15",70,"15:00","N","N","N","blankmaze"
"FISH 1",2,14.3,14.8,"08:04","23:04",475,"15:00","N","N","N","blankmaze"
"FISH 1",3,14.7,14.7,"02:13","17:13",127,"15:00","N","N","N","blankmaze"
"FISH 1",4,13.8,14,"08:13","23:13",489,"15:00","N","N","N","blankmaze"
"FISH 1",5,15.2,15.4,"00:35","15:35",30,"15:00","N","N","N","blankmaze"
"FISH 1",6,14.6,14.7,"02:41","17:41",157,"15:00","N","N","N","blankmaze"
"FISH 1",7,13.9,14.2,"01:15","16:15",564,"15:00","N","N","N","blankmaze"
"FISH 1",8,15.5,15.6,"05:38","20:38",333,"15:00","N","N","N","blankmaze"
"FISH 1",9,13.6,14.6,"00:29","15:29",25,"15:00","N","N","N","blankmaze"
"FISH 1",10,14.5,14.7,"00:48","15:48",44,"15:00","N","N","N","blankmaze"
"FISH 1",11,15.8,15.8,"06:16","21:16",371,"15:00","N","N","N","blankmaze"
"FISH 1",12,13.1,13.7,"10:10","25:10",600,"15:00","N","N","N","blankmaze"
"FISH 1",13,14.5,14.7,"05:35","20:35",330,"15:00","N","N","N","blankmaze"
"FISH 1",14,13.4,14,"00:32","15:32",600,"15:00","N","N","N","blankmaze"
"FISH 1",15,15.6,15.9,"07:53","22:53",470,"15:00","N","N","N","blankmaze"
"FISH 1",16,13.7,14.1,"10:20","25:20",600,"15:00","N","N","N","blankmaze"
"FISH 1",17,13.7,13.7,"03:15","04:17",189,"01:02","N","N","Y","blankmaze"
"FISH 1",18,14.3,14.3,"08:51","23:51",527,"15:00","N","N","N","blankmaze"
"FISH 1",19,14.6,14.9,"07:52","22:52",487,"15:00","N","N","N","blankmaze"
"FISH 1",20,13.1,13.8,"08:59","23:59",535,"15:00","N","N","N","blankmaze"
"FISH 2",1,14.7,14.8,"01:52","16:52",106,"15:00","N","N","N","blankmaze"
"FISH 2",2,15.3,15.3,"00:10","15:10",5,"15:00","N","N","N","blankmaze"
"FISH 2",3,15.8,15.8,"00:47","15:47",43,"15:00","N","N","N","blankmaze"
"FISH 2",4,14.6,14.6,"00:16","15:16",13,"15:00","N","N","N","blankmaze"
"FISH 2",5,13.6,13.6,"00:04","06:53",1,"06:49","N","N","Y","blankmaze"
"FISH 2",6,13.9,14.5,"00:26","15:26",22,"15:00","N","N","N","blankmaze"
"FISH 2",7,14.3,14.7,"00:07","15:07",2,"15:00","N","N","N","blankmaze"
"FISH 2",8,15.7,15.9,"00:40","15:40",36,"15:00","N","N","N","blankmaze"
"FISH 2",9,14.3,14.3,"00:12","11:35",7,"11:23","N","N","Y","blankmaze"
"FISH 2",10,13.4,14,"00:14","15:14",10,"15:00","N","N","N","blankmaze"
"FISH 2",11,14.2,14.4,"00:04","15:04",1,"15:04","N","N","N","blankmaze"
"FISH 2",12,13.6,14,"00:20","15:20",16,"15:00","N","N","N","blankmaze"
"FISH 2",13,14.6,14.9,"00:08","15:08",3,"15:00","N","N","N","blankmaze"
"FISH 2",14,14.6,14.9,"00:52","15:52",47,"15:00","N","N","N","blankmaze"
"FISH 2",15,14.4,14.4,"00:19","15:19",15,"15:00","N","N","N","blankmaze"
"FISH 2",16,14.9,14.9,"02:54","07:21",171,"15:00","N","N","Y","blankmaze"
"FISH 2",17,14.7,14.7,"00:17","08:38",13,"08:21","N","N","Y","blankmaze"
"FISH 2",18,13.4,13.6,"00:18","09:00",14,"08:42","N","N","Y","blankmaze"
"FISH 2",19,14.9,15.2,"04:59","19:59",295,"15:00","N","N","N","blankmaze"
"FISH 2",20,13.7,14,"01:17","16:17",71,"15:00","N","N","N","blankmaze"
"FISH 3",1,14.1,14.3,"00:11","15:11",4,"15:00","N","N","N","blankmaze"
"FISH 3",2,14.1,14.6,"00:06","15:06",1,"15:00","N","N","N","blankmaze"
"FISH 3",3,15.1,15.3,"01:11","16:11",64,"15:00","N","N","N","blankmaze"
"FISH 3",4,14.1,14.6,"00:16","15:16",12,"15:00","N","N","N","blankmaze"
"FISH 3",5,14.6,14.6,"00:22","15:22",16,"15:00","N","N","N","blankmaze"
"FISH 3",6,14.2,15,"00:41","15:41",36,"15:00","N","N","N","blankmaze"
"FISH 3",7,13.3,13.8,"00:19","15:19",15,"15:00","N","N","N","blankmaze"
